id,price,raw_price_text,product_name,slug,merchant_name,price_type
119557,153.72,"153.72 DH","Bioderma Sensibio H2O Solution Micellaire Peaux Sensibles 500ml",bioderma-sensibio-h2o-solution-micellaire-peaux-sensibles-500ml,"AtelierPara Maroc",has_dot
119879,153.85,"153.85 DH","Gel Moussant Emollient Peaux A Tendance Atopique 500ml Exomega Control A-Derma",gel-moussant-emollient-peaux-a-tendance-atopique-500ml-exomega-control-a-derma,"GoPara Maroc",has_dot
122149,153.85,"153.85 DH","Soin Hydratant Texture Légère 40ml Hydrabio Peaux Sensibles Normales à Mixtes Bioderma",soin-hydratant-texture-legere-40ml-hydrabio-peaux-sensibles-normales-a-mixtes-bioderma,"New Era Parapharmacie",has_dot
144482,153.85,"153.85 DH","Shampooing Traitant Peaux A tendance Psoriasique 200ml Kertyol P.S.O Ducray",shampooing-traitant-peaux-a-tendance-psoriasique-200ml-kertyol-p-s-o-ducray,"New Era Parapharmacie",has_dot
120938,154.44,"154.44 DH","Shampooing Anti Pelliculaire 125ml Novophane K Acm",shampooing-anti-pelliculaire-125ml-novophane-k-acm,"AtelierPara Maroc",has_dot
120939,154.44,"154.44 DH","Shampooing Anti Pelliculaire 125ml Novophane K Acm",shampooing-anti-pelliculaire-125ml-novophane-k-acm,"UNIVERS PARADISCOUNT Maroc",has_dot
121147,154.44,"154.44 DH","Baume Hydratant Peaux Seches A Tres Seches 454g Body Cerave",baume-hydratant-peaux-seches-a-tres-seches-454g-body-cerave,"UNIVERS PARADISCOUNT Maroc",has_dot
119201,154.45,"154.45 DH","Salerm Cosmetics Biokera Color couleur de cheveux Blond foncé 70 ml",salerm-cosmetics-biokera-color-couleur-de-cheveux-blond-fonce-70-ml,"AtelierPara Maroc",has_dot
119205,154.45,"154.45 DH","Salerm Cosmetics Biokera Color couleur de cheveux Marron 70 ml",salerm-cosmetics-biokera-color-couleur-de-cheveux-marron-70-ml,"AtelierPara Maroc",has_dot
119208,154.45,"154.45 DH","Salerm Cosmetics Biokera Color couleur de cheveux Noir 70 ml",salerm-cosmetics-biokera-color-couleur-de-cheveux-noir-70-ml,"AtelierPara Maroc",has_dot
143908,154.45,"154.45 DH","BIOKERA NATURE COLOR N°5.70 CHATAIN CLAIR MARRON NATURE",biokera-nature-color-ndeg5-70-chatain-clair-marron-nature,"AtelierPara Maroc",has_dot
143911,154.45,"154.45 DH","BIOKERA NATURE COLOR N°6.1 BLOND FONCE CENDRE",biokera-nature-color-ndeg6-1-blond-fonce-cendre,"AtelierPara Maroc",has_dot
119447,154.7,"154.70 DH","Solution Micellaire Apaisante 400 ml Placentor Végétal",solution-micellaire-apaisante-400-ml-placentor-vegetal,"GoPara Maroc",has_dot
121273,154.7,"154.70 DH","Klorane Camomille 125 ml",klorane-camomille-125-ml,"New Era Parapharmacie",has_dot
121333,154.7,"154.70 DH","Avène Les Essentiels 50 ml",avene-les-essentiels-50-ml,"New Era Parapharmacie",has_dot
122175,154.7,"154.70 DH","Avène cleanance expert soin 40ml",avene-cleanance-expert-soin-40ml,"Para La Gloire",has_dot
122200,154.7,"154.70 DH","Aderma Phys-AC Hydra Crème Compensatrice 40ml",aderma-phys-ac-hydra-creme-compensatrice-40ml,"Para La Gloire",has_dot
110975,154.8,"154.80 DH","ADATA UV350 lecteur USB flash 32 Go Argent",adata-uv350-lecteur-usb-flash-32-go-argent,"NGT Maroc",has_dot
119881,154.8,"154.80 DH","Gel Moussant Emollient Peaux A Tendance Atopique 500ml Exomega Control A-Derma",gel-moussant-emollient-peaux-a-tendance-atopique-500ml-exomega-control-a-derma,"UNIVERS PARADISCOUNT Maroc",has_dot
121529,154.86,"154.86 DH","Avène Cicalfate 40 ml",avene-cicalfate-40-ml,"Para La Gloire",has_dot
